Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
1,0,0.0,0,0,376,0.0,146.41216216216216,360.0,1.0,2
1,1,1.0,0,0,306,1508.0,128.0,360.0,1.0,0
1,1,0.0,0,1,139,0.0,66.0,360.0,1.0,2
1,1,0.0,1,0,90,2358.0,120.0,360.0,1.0,2
1,0,0.0,0,0,381,0.0,141.0,360.0,1.0,2
1,1,2.0,0,1,353,4196.0,267.0,360.0,1.0,2
1,1,0.0,1,0,65,1516.0,95.0,360.0,1.0,2
1,1,3.0,0,0,146,2504.0,158.0,360.0,0.0,1
1,1,2.0,0,0,269,1526.0,168.0,360.0,1.0,2
1,1,1.0,0,0,470,10968.0,349.0,360.0,1.0,1
1,1,2.0,0,0,171,700.0,70.0,360.0,1.0,2
1,1,2.0,0,2,84,1840.0,109.0,360.0,1.0,2
1,1,2.0,0,0,150,8106.0,200.0,360.0,1.0,2
1,0,0.0,0,0,24,2840.0,114.0,360.0,1.0,0
1,1,2.0,0,0,7,1086.0,17.0,120.0,1.0,2
1,0,0.0,0,0,337,0.0,125.0,360.0,1.0,2
1,0,1.0,1,0,218,0.0,100.0,240.0,1.0,2
0,0,0.0,0,0,208,0.0,76.0,360.0,0.0,2
1,1,0.0,1,0,331,0.0,133.0,360.0,1.0,0
1,1,0.0,0,2,91,3500.0,115.0,360.0,1.0,2
1,1,0.0,1,0,423,0.0,104.0,360.0,0.0,2
1,1,1.0,0,0,380,5625.0,315.0,360.0,1.0,2
1,1,0.0,1,0,91,1911.0,116.0,360.0,0.0,1
2,1,2.0,1,0,190,1917.0,112.0,360.0,0.0,0
1,1,1.0,0,2,237,2925.0,151.0,360.0,1.0,1
1,1,0.0,0,1,450,0.0,191.0,360.0,1.0,1
1,1,0.0,0,0,116,2253.0,122.0,360.0,1.0,1
1,1,2.0,1,0,285,1040.0,110.0,360.0,1.0,2
1,0,0.0,1,0,9,0.0,35.0,360.0,1.0,2
0,0,2.0,0,2,240,2083.0,120.0,360.0,1.0,1
1,1,1.0,0,2,279,3369.0,201.0,360.0,1.0,2
1,0,0.0,0,0,166,0.0,74.0,360.0,1.0,2
1,0,1.0,0,1,317,0.0,106.0,360.0,1.0,0
1,1,0.0,0,0,207,1667.0,114.0,360.0,1.0,1
1,0,3.0,0,0,469,3000.0,320.0,360.0,1.0,0
1,1,0.0,0,0,59,2067.0,146.41216216216216,360.0,1.0,2
1,1,0.0,0,0,21,1330.0,100.0,360.0,0.0,2
0,1,0.0,0,0,228,1459.0,144.0,360.0,1.0,1
1,0,0.0,0,0,279,7210.0,184.0,360.0,1.0,2
1,0,0.0,1,0,239,1668.0,110.0,360.0,1.0,1
1,0,0.0,0,0,221,0.0,80.0,360.0,1.0,2
1,0,0.0,0,0,17,1213.0,47.0,360.0,1.0,2
1,1,0.0,0,0,71,0.0,75.0,360.0,1.0,2
1,1,0.0,0,0,261,2336.0,134.0,360.0,1.0,1
1,1,0.0,1,1,318,0.0,96.0,360.0,1.0,2
0,0,0.0,0,0,195,0.0,88.0,360.0,1.0,2
1,1,1.0,0,0,361,0.0,44.0,360.0,1.0,2
1,1,0.0,0,0,374,0.0,144.0,360.0,1.0,2
0,1,0.0,0,0,95,3440.0,120.0,360.0,0.0,2
0,0,0.0,0,0,268,2275.0,144.0,360.0,1.0,1
0,1,0.0,1,0,31,1644.0,100.0,360.0,1.0,1
0,0,0.0,0,0,154,0.0,120.0,360.0,1.0,1
0,0,0.0,0,0,286,0.0,112.0,360.0,1.0,1
1,1,2.0,0,0,310,0.0,134.0,360.0,1.0,2
0,1,1.0,0,1,466,0.0,286.0,360.0,0.0,2
1,1,2.0,0,0,104,1167.0,97.0,360.0,1.0,1
1,1,0.0,0,0,45,1591.0,96.0,360.0,1.0,1
1,1,0.0,0,0,191,2200.0,135.0,360.0,1.0,0
1,1,1.0,0,0,432,2250.0,180.0,360.0,1.0,2
1,1,2.0,1,0,188,2859.0,144.0,360.0,1.0,2
1,1,0.0,0,0,84,3796.0,120.0,360.0,1.0,2
1,1,3.0,0,0,144,0.0,99.0,360.0,1.0,2
1,1,0.0,1,1,92,3449.0,165.0,180.0,0.0,0
1,1,1.0,0,0,336,0.0,146.41216216216216,360.0,0.0,0
0,0,0.0,0,0,279,0.0,116.0,360.0,0.0,1
1,1,0.0,0,0,367,4595.0,258.0,360.0,1.0,1
1,0,0.0,1,0,171,2254.0,126.0,180.0,0.0,2
1,1,1.0,0,0,460,0.0,312.0,360.0,1.0,2
1,1,3.0,1,1,413,0.0,125.0,60.0,1.0,2
0,0,0.0,0,0,290,0.0,136.0,360.0,0.0,1
1,1,0.0,0,0,172,3066.0,172.0,360.0,1.0,2
1,1,2.0,1,1,26,1875.0,97.0,360.0,1.0,1
1,0,0.0,0,0,207,0.0,81.0,300.0,1.0,1
1,1,3.0,1,0,324,0.0,95.0,360.0,0.0,1
1,1,3.0,0,1,348,1774.0,187.0,360.0,1.0,1
1,0,0.0,0,0,240,0.0,113.0,480.0,1.0,2
1,0,0.0,0,0,240,4750.0,176.0,360.0,1.0,2
1,1,1.0,0,1,5,3022.0,110.0,360.0,1.0,2
1,1,3.0,0,0,166,4000.0,180.0,300.0,0.0,1
1,1,3.0,1,1,186,2166.0,130.0,360.0,1.0,1
0,0,0.0,0,0,249,0.0,111.0,360.0,1.0,1
1,1,1.0,0,1,70,0.0,146.41216216216216,360.0,1.0,1
0,1,2.0,0,0,8,1881.0,167.0,360.0,1.0,2
1,1,0.0,0,0,381,2250.0,265.0,360.0,1.0,1
1,1,1.0,0,0,265,0.0,50.0,240.0,1.0,2
1,0,0.0,0,0,67,2531.0,136.0,360.0,1.0,1
1,1,2.0,1,0,186,2000.0,99.0,360.0,1.0,1
1,1,0.0,0,0,84,2118.0,104.0,360.0,1.0,1
1,0,0.0,0,0,436,0.0,210.0,360.0,1.0,2
1,1,0.0,0,0,364,4167.0,175.0,360.0,1.0,1
1,1,0.0,0,0,133,2900.0,131.0,360.0,1.0,1
1,1,2.0,0,0,392,5654.0,188.0,180.0,1.0,1
1,1,2.0,1,0,180,1820.0,81.0,360.0,1.0,2
1,0,0.0,0,0,277,0.0,122.0,360.0,1.0,1
1,0,0.0,1,0,224,0.0,25.0,120.0,1.0,1
1,0,0.0,0,2,407,0.0,146.41216216216216,360.0,1.0,2
0,1,0.0,0,0,80,2302.0,137.0,360.0,1.0,1
1,1,0.0,0,0,34,997.0,50.0,360.0,1.0,1
1,1,0.0,1,0,282,0.0,115.0,180.0,1.0,1
1,1,0.0,0,0,15,3541.0,131.0,360.0,1.0,1
1,1,2.0,1,0,289,3263.0,133.0,180.0,1.0,2
1,0,0.0,0,0,327,3806.0,151.0,360.0,1.0,1
1,1,0.0,0,0,473,0.0,146.41216216216216,360.0,1.0,2
1,1,0.0,0,0,312,3583.0,146.41216216216216,360.0,1.0,1
1,2,0.0,0,0,247,754.0,160.0,360.0,1.0,2
1,1,1.0,0,0,147,1030.0,100.0,360.0,1.0,2
1,1,2.0,0,0,465,1126.0,225.0,360.0,1.0,2
1,0,0.0,1,2,418,0.0,120.0,360.0,1.0,0
1,1,2.0,0,0,243,3600.0,216.0,360.0,0.0,2
1,1,3.0,1,0,42,754.0,94.0,480.0,1.0,1
1,0,0.0,0,0,350,0.0,136.0,360.0,1.0,2
0,1,0.0,0,2,129,2333.0,139.0,360.0,1.0,1
1,1,0.0,1,0,214,4114.0,152.0,360.0,0.0,0
0,0,1.0,0,1,420,0.0,146.41216216216216,360.0,1.0,1
1,0,0.0,0,2,340,0.0,118.0,360.0,1.0,1
1,1,1.0,0,0,474,0.0,185.0,180.0,1.0,0
0,1,0.0,0,0,166,2283.0,154.0,360.0,1.0,1
1,1,1.0,0,0,54,1398.0,85.0,360.0,1.0,2
1,1,0.0,0,0,360,2142.0,175.0,360.0,1.0,0
0,0,0.0,0,0,457,0.0,259.0,360.0,1.0,2
1,1,0.0,0,0,362,2667.0,180.0,360.0,1.0,0
0,0,0.0,0,0,279,0.0,44.0,360.0,1.0,1
0,0,0.0,0,0,46,8980.0,137.0,360.0,0.0,1
1,1,2.0,0,0,132,0.0,81.0,360.0,1.0,1
1,1,0.0,1,0,290,2014.0,194.0,360.0,1.0,0
0,0,0.0,0,0,232,0.0,93.0,360.0,1.0,0
2,1,3.0,0,0,497,0.0,370.0,360.0,1.0,0
1,0,0.0,0,0,253,1640.0,146.41216216216216,360.0,1.0,0
1,1,1.0,0,1,459,3850.0,160.0,180.0,0.0,2
1,1,0.0,0,0,386,2569.0,182.0,360.0,1.0,0
1,0,0.0,0,1,493,0.0,650.0,480.0,1.0,2
1,0,0.0,0,0,37,1929.0,74.0,360.0,1.0,2
